	rating	reviews	reviews_punctuation_free
10	5.0	A treasure find in Piccadilly/Buckingham vicinity. Excellent and artistic dishes, wide array of wine selections and impeccable customer service talent. This place is managed extremely well, the staff has a good grip of what it takes to be in a customer service oriented establishment, they do care for their customer and aim for professionalism and customer service. Will definitely be back here.	a treasure find in piccadilly buckingham vicinity  excellent and artistic dishes  wide array of wine selections and impeccable customer service talent  this place is managed extremely well  the staff has a good grip of what it takes to be in a customer service oriented establishment  they do care for their customer and aim for professionalism and customer service  will definitely be back here 
11	5.0	When dim sum have a Michelin star!While I wasn't blown away (except for the custard buns) it's dim sums in it's most refined and creative level for a rather good price! If you manage to get a table, you should most definitely go!!We shared a few of the dim sums and snacks first:Chengdu Street Tofu (very nice), Shangai steamed dumpling ( like xao long bao), Sechuanese chicken and peanut bonbon, Wagyu tart with black beans, Isle of Mull seared scallop and cheung fun, Steamed duck yolk custard bun (a must order), Pork and prawn dumpling, wild mushroom and truffle steamed buns, clear shrimp dumpling and rabbit and carrot glutinous.We also shared a crispy duck and Singapour noodles.Overall I would say certain dishes and presentation deserve the Michelin star but others may not be as up to par. However this is fine Chinese food for a fairly democratic price and it was delicious enough that I would love to come back if I ever manage to get a table again	when dim sum have a michelin star while i wasn t blown away  except for the custard buns  it s dim sums in it s most refined and creative level for a rather good price  if you manage to get a table  you should most definitely go  we shared a few of the dim sums and snacks first chengdu street tofu  very nice   shangai steamed dumpling   like xao long bao   sechuanese chicken and peanut bonbon  wagyu tart with black beans  isle of mull seared scallop and cheung fun  steamed duck yolk custard bun  a must order   pork and prawn dumpling  wild mushroom and truffle steamed buns  clear shrimp dumpling and rabbit and carrot glutinous we also shared a crispy duck and singapour noodles overall i would say certain dishes and presentation deserve the michelin star but others may not be as up to par  however this is fine chinese food for a fairly democratic price and it was delicious enough that i would love to come back if i ever manage to get a table again
12	1.0	They denied us because we didn't have a reservation, so we ended up eating at a nearby restaurant.  We finished our meal and walked by A Wong only to see the restaurant only half full. What a disappointment that they could not take our number or give us the option to book for a later time/date. It all seemed a little odd and not at all right.	they denied us because we didn t have a reservation  so we ended up eating at a nearby restaurant   we finished our meal and walked by a wong only to see the restaurant only half full  what a disappointment that they could not take our number or give us the option to book for a later time date  it all seemed a little odd and not at all right 
13	4.0	A terrific degustatory experience, & well worth seeking out. Its easy to have slight misgivings when you pull up (this part of Pimlico is less than lovely...), or when you walk in (no white linen table cloths here!). Don't be. The staff are lovely & very attentive, & the food is inventive, beautiful, & really delicious! The dim sum we ate (Xiaolongbao-style dumplings, chive potstickers, Szechuan wonton, and other delicious things). The Szechuan chicken bonbon was far and away the star!Our hostess recommended the lamb burger, and we mistakenly chose the Peking duck. It wasn't great for us, as we found it a bit dry (we're spoiled, having eaten at Mott 32 in HK). Definitely go, its worth it!	a terrific degustatory experience    well worth seeking out  its easy to have slight misgivings when you pull up  this part of pimlico is less than lovely      or when you walk in  no white linen table cloths here    don t be  the staff are lovely   very attentive    the food is inventive  beautiful    really delicious  the dim sum we ate  xiaolongbao style dumplings  chive potstickers  szechuan wonton  and other delicious things   the szechuan chicken bonbon was far and away the star our hostess recommended the lamb burger  and we mistakenly chose the peking duck  it wasn t great for us  as we found it a bit dry  we re spoiled  having eaten at mott 32 in hk   definitely go  its worth it 
14	5.0	- Small restaurant. Make reservations - dim sum menu, no cart- fancy and innovative dim sum - best ones- soup dumplings, mushroom buns, scallops, custard buns	  small restaurant  make reservations   dim sum menu  no cart  fancy and innovative dim sum   best ones  soup dumplings  mushroom buns  scallops  custard buns
15	5.0	This place was a surprise - incredible wait staff with a brilliant command of the space - which is a cozy space with a very nice ambiance and location (near Victoria rail and underground)I recommend the Peking Duck - also crab and seafood bound in lettuce. Fried rice  is excellent...	this place was a surprise   incredible wait staff with a brilliant command of the space   which is a cozy space with a very nice ambiance and location  near victoria rail and underground i recommend the peking duck   also crab and seafood bound in lettuce  fried rice  is excellent   
16	5.0	Went with two friends, including one who does not like Chinese food, and we were amazed how good it was. Went with the tasting menu and it was an incredible trip across China. Dishes from different regions with great explanations. Many excellent courses but the soup dumplings really jumped out. Tried some interesting dishes also but none were too challenging that I avoided them. It was a great menu at a reasonable cost. Also impressed with the wine list, many good choices in the 20-40 range. Went with a Gigondas that worked perfectly with the tasting menu.	went with two friends  including one who does not like chinese food  and we were amazed how good it was  went with the tasting menu and it was an incredible trip across china  dishes from different regions with great explanations  many excellent courses but the soup dumplings really jumped out  tried some interesting dishes also but none were too challenging that i avoided them  it was a great menu at a reasonable cost  also impressed with the wine list  many good choices in the 20 40 range  went with a gigondas that worked perfectly with the tasting menu 
17	5.0	A.Wong was a special find during our London stay - delicious and elegant dim sum for reasonable prices (at least compared to San Francisco) :P One of our favorite things about A.Wong was that the dim sum menu was priced per piece, so we were able to order exactly the amount we were able to eat. Typical dim sum restaurants always serve their dishes in portions of three, and we've never been able to enjoy the full selection of the menu as a party of two.A couple of our favorites from A.Wong:- Shrimp Dumpling, Sweet Chili Sauce, and Citrus Foam - loved the bright acidity of the citrus.- Honey Baked Pork Pasty- Steamed Duck Yolk Custard Bun (presented like a peach)- Shanghai Steamed Dumpling with Ginger Infused Vinegar - very juicy though the skins got stuck together and we broke the dumpling :(Given that we were ordering piece by piece, we were able to try the entire menu (except for the rabbit puff). We do wish that there were more vegetable/steamed options available on the menu, but dim sum traditionally has more starchy, fried courses. Overall, we felt like that this was a fantastic dining experience, and are looking forward to trying out more dim sum the next time we're in London!	a wong was a special find during our london stay   delicious and elegant dim sum for reasonable prices  at least compared to san francisco   p one of our favorite things about a wong was that the dim sum menu was priced per piece  so we were able to order exactly the amount we were able to eat  typical dim sum restaurants always serve their dishes in portions of three  and we ve never been able to enjoy the full selection of the menu as a party of two a couple of our favorites from a wong   shrimp dumpling  sweet chili sauce  and citrus foam   loved the bright acidity of the citrus   honey baked pork pasty  steamed duck yolk custard bun  presented like a peach   shanghai steamed dumpling with ginger infused vinegar   very juicy though the skins got stuck together and we broke the dumpling   given that we were ordering piece by piece  we were able to try the entire menu  except for the rabbit puff   we do wish that there were more vegetable steamed options available on the menu  but dim sum traditionally has more starchy  fried courses  overall  we felt like that this was a fantastic dining experience  and are looking forward to trying out more dim sum the next time we re in london 
18	1.0	Boy, I wish I could put zero stars..for 3 days I called this place during business hours and no one answered the phone..I could not make a reservation. We went anyway on a Sat night. Not a great neighborhood at all. Went in and 5 tables were open and we were told they were booked all night. They didn't seem to care how much I called them or that I wanted a table...I have no problem sharing their bad service issues.	boy  i wish i could put zero stars  for 3 days i called this place during business hours and no one answered the phone  i could not make a reservation  we went anyway on a sat night  not a great neighborhood at all  went in and 5 tables were open and we were told they were booked all night  they didn t seem to care how much i called them or that i wanted a table   i have no problem sharing their bad service issues 
19	5.0	A lovely light meal here. I sat at the bar which was perfect for the solo diner. The staff was attentive and friendly. I started with the Peking cocktail...champagne, citrus puree with candy floss sprayed with an atomizer of cognac. Delicious and so very pretty.I just had a couple of small plates, the chengdu street tofu (almost wished I had made a double order). It had so much flavor in such a small bowl. Could have definitely eaten more. Then I had the crab and seafood in braised leaves...wow. The broth was so flavorful that I wanted to tilt the bowl and drink it. Very very delicious and surprisingly filling for such a delicate dish.After dinner I decided on another drink so I went downstairs to the Forbidden City bar in their basement (only access through the restaurant). The decor was very early 20th century opium den and the staff was again great. They have a specialty old fashioned on their menu that contains duck fat. I had a standard old fashioned (my bartender's 1st!) and it was delicious. The perfect ending to my first night in London.Even though I was there on a Thursday, the restaurant was very crowded, but it isn't a huge space. Reservations are recommended	a lovely light meal here  i sat at the bar which was perfect for the solo diner  the staff was attentive and friendly  i started with the peking cocktail   champagne  citrus puree with candy floss sprayed with an atomizer of cognac  delicious and so very pretty i just had a couple of small plates  the chengdu street tofu  almost wished i had made a double order   it had so much flavor in such a small bowl  could have definitely eaten more  then i had the crab and seafood in braised leaves   wow  the broth was so flavorful that i wanted to tilt the bowl and drink it  very very delicious and surprisingly filling for such a delicate dish after dinner i decided on another drink so i went downstairs to the forbidden city bar in their basement  only access through the restaurant   the decor was very early 20th century opium den and the staff was again great  they have a specialty old fashioned on their menu that contains duck fat  i had a standard old fashioned  my bartender s 1st   and it was delicious  the perfect ending to my first night in london even though i was there on a thursday  the restaurant was very crowded  but it isn t a huge space  reservations are recommended
20	5.0	I really enjoyed this, had an excellent Chinese meal that straddled the line between good old comfort food, and great cooking perfectly...haven't had duck pancakes in years and these were tremendous....Complete satisfaction with the dining room, food, service - no reason not to give it full marks.If you're in Victoria / Pimlico and you want great Asian food - you'd be hard pushed to beat this place.	i really enjoyed this  had an excellent chinese meal that straddled the line between good old comfort food  and great cooking perfectly   haven t had duck pancakes in years and these were tremendous    complete satisfaction with the dining room  food  service   no reason not to give it full marks if you re in victoria   pimlico and you want great asian food   you d be hard pushed to beat this place 
21	4.0	"All I can say is that A. Wong's steamed duck yolk custard bun is worthy enough ""to die for"". It's a shame that they don't allow take away or I would easily have a dozen of these to take away everyday if I could. Anyway, salivating over this bun aside, all the dim sum here is delicate, well prepared and presented, and generally of a standard you would expect considering the price tag attached. But, I repeat, for a bun-lover like me, their custard bun is far and away their knock-out hit."	all i can say is that a  wong s steamed duck yolk custard bun is worthy enough  to die for   it s a shame that they don t allow take away or i would easily have a dozen of these to take away everyday if i could  anyway  salivating over this bun aside  all the dim sum here is delicate  well prepared and presented  and generally of a standard you would expect considering the price tag attached  but  i repeat  for a bun lover like me  their custard bun is far and away their knock out hit 
22	5.0	Absolutely delicious! We arrived close to closing last night for my birthday as our first meal in London and they did not disappoint.Quaint environment, attentive staff, and wonderful cocktails...the food is delicious!! We ordered a dim sum platter, prawn wontons, the lobster, egg fried rice, and crispy duck with caviar.Great birthday dinner, it was perfect.	absolutely delicious  we arrived close to closing last night for my birthday as our first meal in london and they did not disappoint quaint environment  attentive staff  and wonderful cocktails   the food is delicious   we ordered a dim sum platter  prawn wontons  the lobster  egg fried rice  and crispy duck with caviar great birthday dinner  it was perfect 
23	4.0	My husband and I came here for dinner. We stumbled across the find through Yelp and it was only a short distance walk from our hotel. We tried going here for dinner last night and they were completely packed! Disappointed but sure to return we made reservations for the following night. The atmosphere is very hip and young. The food is trendy and beautifully made. The flavors are there in every fish. We ordered the dim sum and egg waffle for apps and shared the garlic lobster and egg fried rice for the main course. I did feel that the food was overpriced but for a Michelin star restaurant I would guess that makes sense.	my husband and i came here for dinner  we stumbled across the find through yelp and it was only a short distance walk from our hotel  we tried going here for dinner last night and they were completely packed  disappointed but sure to return we made reservations for the following night  the atmosphere is very hip and young  the food is trendy and beautifully made  the flavors are there in every fish  we ordered the dim sum and egg waffle for apps and shared the garlic lobster and egg fried rice for the main course  i did feel that the food was overpriced but for a michelin star restaurant i would guess that makes sense 
24	5.0	It was total luck that we stopped in here for last meal in London this trip.  And so I think it was a little bit of fate that let us partake of some very tasty and interesting things.  The hints of modernist techniques with care in choosing items made this a lovely experience.  I just wish I lived near by to go back and enjoy other things on the rest of the menu, but going for the biggest variety, we decided to do the 10 course dim sum tasting menu.  It was an excellent choice.I enjoyed everything, but there were some real stand outs.  The 62 degree egg is of course cool and tasty, but I have a thing for eggs and I've been experimenting with these so it is great to see one in action.  The the soup dumplings are among the best I've had, and I've had a lot. The tapioca pearls were a nice touch and something different than roe.   One thing that was very simple and very good was the mixed greens with shrimp butter and fermented tofu.  A really enjoyable dish with a depth of flavor.  The lamb burger was very nicely done and super flavorful.  Desserts were creative and tasty.  Probably the best thing was the Yunnan seared beef with mint.  This was like a party in your mouth!  Well balanced, full of flavor, the beef was great, the mint fried to add to a bit of fun and flavor.  I could probably eat this everyday for a week.  totally enjoyed the hints of modernist techniques in this mean and the depth of flavors.  This is a must go to place next time I'm in London and a place to tell your friends about.  If you are looking for something refined and interesting this is the place.  Service was excellent and the smells coming from the open air kitchen made me hungry for more and got me guessing about the next dish that was about to come out.	it was total luck that we stopped in here for last meal in london this trip   and so i think it was a little bit of fate that let us partake of some very tasty and interesting things   the hints of modernist techniques with care in choosing items made this a lovely experience   i just wish i lived near by to go back and enjoy other things on the rest of the menu  but going for the biggest variety  we decided to do the 10 course dim sum tasting menu   it was an excellent choice i enjoyed everything  but there were some real stand outs   the 62 degree egg is of course cool and tasty  but i have a thing for eggs and i ve been experimenting with these so it is great to see one in action   the the soup dumplings are among the best i ve had  and i ve had a lot  the tapioca pearls were a nice touch and something different than roe    one thing that was very simple and very good was the mixed greens with shrimp butter and fermented tofu   a really enjoyable dish with a depth of flavor   the lamb burger was very nicely done and super flavorful   desserts were creative and tasty   probably the best thing was the yunnan seared beef with mint   this was like a party in your mouth   well balanced  full of flavor  the beef was great  the mint fried to add to a bit of fun and flavor   i could probably eat this everyday for a week   totally enjoyed the hints of modernist techniques in this mean and the depth of flavors   this is a must go to place next time i m in london and a place to tell your friends about   if you are looking for something refined and interesting this is the place   service was excellent and the smells coming from the open air kitchen made me hungry for more and got me guessing about the next dish that was about to come out 
25	3.0	So I went to A-wong again. Do not order the 8 spices Chicken. It is served at room temperature and the chicken tastes like boiled chicken that has gone cold. Disgusting. It was so bad that I didn't touch it.I ordered dumpling which were tasty but I find them overpriced.I still think this place is worth visiting but not all dishes are as good.	so i went to a wong again  do not order the 8 spices chicken  it is served at room temperature and the chicken tastes like boiled chicken that has gone cold  disgusting  it was so bad that i didn t touch it i ordered dumpling which were tasty but i find them overpriced i still think this place is worth visiting but not all dishes are as good 
26	5.0	We were able to get seats at the bar for an early dinner.  The Michelin announcements had just happened the day prior, and there was a palpable buzz in the air.  The wait staff was attentive, and the food...  the accolades were well deserved.  We had the duck pancakes, wagyu and lemongrass, pork belly, and goldfish dumplings with foie gras. Everything was delectable and perfect!	we were able to get seats at the bar for an early dinner   the michelin announcements had just happened the day prior  and there was a palpable buzz in the air   the wait staff was attentive  and the food     the accolades were well deserved   we had the duck pancakes  wagyu and lemongrass  pork belly  and goldfish dumplings with foie gras  everything was delectable and perfect 
27	5.0	A.Wong.  A recent Michelin star and a mark of 5 in the new edition of the Good Food Guide are both to be taken seriously, and A.Wang is no disappointment.  Andrew Wang is British born of Chinese descent, and had travelled extensively in China. His 10-course tasting menu, a culinary journey through the vast county of his ancestors, is not cheap, especially in a country where cheap High St Chinese is ubiquitous but seldom good, but the quality of cooking and presentation is as far removed from the ordinary as is the £70 price tag.  It's enough to say here that no dish disappointed, most excelled, and one or two were quite stunning.  The meal takes 2.5 hours and is worth both the time and the money if you want subtly, variety and polish.  If not, your local Chinese will do you a sweet-sour pork and egg-fried rice for a fraction of the price.  But you will be much the poorer for it, at least gastronomically speaking. Highly recommended	a wong   a recent michelin star and a mark of 5 in the new edition of the good food guide are both to be taken seriously  and a wang is no disappointment   andrew wang is british born of chinese descent  and had travelled extensively in china  his 10 course tasting menu  a culinary journey through the vast county of his ancestors  is not cheap  especially in a country where cheap high st chinese is ubiquitous but seldom good  but the quality of cooking and presentation is as far removed from the ordinary as is the  70 price tag   it s enough to say here that no dish disappointed  most excelled  and one or two were quite stunning   the meal takes 2 5 hours and is worth both the time and the money if you want subtly  variety and polish   if not  your local chinese will do you a sweet sour pork and egg fried rice for a fraction of the price   but you will be much the poorer for it  at least gastronomically speaking  highly recommended
28	1.0	I have never seen a Chinese restaurant to do business like this one.  We ordered four dishes for our dinner but each one came with very few stuff in funny big bowls!  The amounts of dishes were too small!	i have never seen a chinese restaurant to do business like this one   we ordered four dishes for our dinner but each one came with very few stuff in funny big bowls   the amounts of dishes were too small 
